País,Año,N° de ley,Tipo,Extracto,Link,Fecha de sanción,¿Modifica otra ley?,¿Cuál?,¿Sigue vigente?,Fecha de derogación o modificación,¿Criminaliza la expresión?,¿Elimina criminalización?,¿Impone una sanción civil?,¿Elimina una sanción civil?,¿Impone barreras adicionales para la expresión?,¿Regula contenido en Internet?,¿Distingue la expresión online de la offline?,¿Regula intermediarios en Internet?,¿Apoyo de la sociedad civil?,¿Limita o promueve el discurso?,Objetivo legítimo,Legalidad,Necesidad,Proporcionalidad,¿Cumple con todos los elementos del test?,Objetivo legítimo (2),Objetivo legítimo (3),Análisis del test tripartito
Perú,2023,LEY 31880,LEY,"Esta ley delega facultades al Poder Ejecutivo para legislar sobre temas de seguridad ciudadana, incluyendo entre otros aspectos: 1) ""Modificar el Código Penal [...] en materia de delitos contra la seguridad y tranquilidad pública, sin criminalizar las libertades de información, opinión, expresión y difusión del pensamiento, así como el derecho de reunirse pacíficamente sin armas"". 2) ""Modificar el Nuevo Código Procesal Penal [...] con la finalidad de optimizar el arco legal que regula la investigación del delito y la intervención de la Policía Nacional del Perú y el Ministerio Público"". 3) ""Fortalecer la lucha contra la extorsión, la estafa, el fraude y otros delitos a través de la aprobación de medidas y normas modificatorias al marco normativo, con la intención de prevenir y hacer frente a la ciberdelincuencia"". 4) ""Legislar en el marco de la promoción del uso seguro y responsable de las tecnologías digitales por niños, niñas y adolescentes"".",https://busquedas.elperuano.pe/dispositivo/NL/2218364-1,2023-09-23,NO,,SI,2023-12-24,NO,NO,NO,NO,SI,NO,NO,NO,,Limita,Moral Pública,NO,NO,NO,NO,Orden Público,Seguridad Nacional,"(1). Legalidad: Las restricciones deben estar definidas claramente por la ley. En un caso particular, la ley propone cambios en el ódigo Penal para introducir delitos de colaboración e instigación al disturbio, pero no ofrece definiciones precisas para estos delitos, lo que genera incertidumbre. (2) Necesidad: Para ser legítimas, las restricciones deben perseguir un objetivo legítimo. Aunque se menciona la seguridad ciudadana como objetivo, no se justifica de manera sólida por qué se requieren estas restricciones, ni se enumeran claramente cuáles serán. Además, no se demuestra que no existan medidas menos restrictivas para abordar el problema. (3) Proporcionalidad: La proporcionalidad implica equilibrar la protección de la seguridad con el costo de restringir la libertad de expresión. La ley impone restricciones severas, como la persecución penal de actividades en redes sociales, sin justificación clara y sin medidas para evitar su uso excesivo. Esto podría restringir significativamente la libertad de expresión y de reunión de los ciudadanos, así como impactar la innovación y el uso de servicios en línea. Al amparo de las facultades delegadas se podría perseguir penalmente actividades en redes sociales, sin una justificación clara y sin medidas para evitar un uso excesivo, por lo tanto no garantiza un adecuado equilibrio entre estos aspectos. En efecto, la creación de delitos de colaboración e instigación al disturbio podría resultar en la persecución penal de actividades asociadas a la convocatoria de marchas y protestas en redes sociales. Esto podría restringir significativamente la libertad de expresión y de reunión de los ciudadanos."
Brasil,2022,Ley n. 14.291/2022,Ley ordinaria,"Altera a Lei nº 9.096, de 19 de setembro de 1995 (Lei dos Partidos Políticos), para dispor sobre a propaganda partidária gratuita no rádio e na televisão.",https://www.in.gov.br/en/web/dou/-/lei-n-14.291-de-3-de-janeiro-de-2022-371717840,2022-01-03,SI,Ley n. 9.096/1995 (Lei dos Partidos Políticos),SI,,NO,NO,NO,NO,SI,NO,SI,NO,,Limita,Libertad de Expresión y Derechos políticos,SI,SI,SI,SI,Libertad electoral,Fake news,"A nova lei trata de propaganda eleitoral. Entre outros temas, a lei veda a inserção de (i) pessoas não filiadas ao partido responsável pelo programa; (ii) propaganda de candidatos a cargos eletivos e a defesa de interesses pessoais ou de outros partidos, bem como toda forma de propaganda eleitoral; (iii) imagens ou de cenas incorretas ou incompletas, de efeitos ou de quaisquer outros recursos que distorçam ou falseiem os fatos ou a sua comunicação; (iv) de matérias que possam ser comprovadas como falsas (fake news); (v) atos que resultem em qualquer tipo de preconceito racial, de gênero ou de local de origem; e (vi) atos que incitem a violência no horário gratuito ao rádio e à televisão."
Chile,2022,21.459,Ley,"ESTABLECE NORMAS SOBRE DELITOS INFORMÁTICOS, DEROGA LA LEY N° 19.223 Y MODIFICA OTROS CUERPOS LEGALES CON EL OBJETO DE ADECUARLOS AL CONVENIO DE BUDAPEST",https://www.bcn.cl/leychile/navegar?idNorma=1177743,2022-06-09,SI,Ley 19.223,SI,,NO,NO,SI,NO,,NO,NO,NO,,Limita,Privacidad y Derechos ARCO,SI,SI,,,Privacidad,,"Es una ley que logra equilbrar la protección de sistemas informáticos y la data , más que poner énfasis en los dispositivos."
Colombia,2022,2184,Ley ordinaria,"DICTA NORMAS PARA RECONOCER LA TRANSMISIÓN DE LOS SABERES CULTURALES, FOMENTAR Y PROMOVER LA SOSTENIBILIDAD DE LOS OFICIOS ARTÍSTICOS, DE LAS INDUSTRIAS CREATIVAS Y CULTURALES Y DEL PATRIMONIO CULTURAL EN COLOMBIA. CREA UN CONSEJO ASESOR PARA EL MINISTERIO DE CULTURA PARA LA CREACIÓN DE POLÍTICAS ENCAMINADAS AL FOMENTO DE ESTOS OFICIOS.",https://dapre.presidencia.gov.co/normativa/normativa/LEY%202184%20DEL%206%20DE%20ENERO%20DE%202022.pdf?TSPD_101_R0=08394a21d4ab20007e6ddf8dce56417443797c3c86245da1b488805642d6d83bc9e898f6dccef7f30847184d12145000b1ae32c34fc2d14dea2b857f5acbd91004e3758bd16eaa095108d036c73db4b06464160c7415ab586ac196a3cc136c970fd9e0d8f6797979f75839dc356ee0e9cf1f893289c57e5495e7a248fb05365f,2022-01-06,NO,,SI,,NO,NO,NO,NO,NO,NO,NO,NO,,Promueve,Libertad de Expresión y Derechos políticos,,,,,Libertad de expresión,,
Colombia,2022,2195,Ley ordinaria,"ADOPTA MEDIDAS EN MATERIA DE TRANSPARENCIA, PREVENCIÓN Y LUCHA CONTRA LA CORRUPCIÓN. EL PROYECTO ESTABLECE MEDIDAS DE PROTECCIÓN PARA DENUNCIANTES.",https://www.funcionpublica.gov.co/eva/gestornormativo/norma.php?i=175606,2022-01-18,SI,"LEY 1474 DE 2011, LEY 1615 DE 2013, LEY 1708 DE 2014, LEY 1778 DE 2016, LEY 136 DE 1994, LEY 678 DE 2001, LEY 1437 DE 2011, LEY 80 DE 1993, LEY 1955 DE 2019",SI,,NO,NO,NO,NO,NO,NO,NO,NO,,Promueve,Acceso a la información,,,,,,,
Colombia,2022,2265,Ley ordinaria,"ADOPTA EL USO DEL SISTEMA BRAILLE EN EMPAQUES DE PRODUCTOS ALIMENTICIOS, MÉDICOS, EN SERVICIOS TURÍSTICOS Y EN SITIOS PÚBLICOS.",https://dapre.presidencia.gov.co/normativa/normativa/LEY%202265%20DE%2026%20DE%20JULIO%20DE%202022.pdf,2022-07-26,NO,,SI,,NO,NO,NO,NO,NO,NO,NO,NO,SI,Promueve,Acceso a la información,,,,,,,
Colombia,2022,2273,Ley ordinaria,"APRUEBA EL «ACUERDO REGIONAL SOBRE EL ACCESO A LA INFORMACIÓN, LA PARTICIPACIÓN PÚBLICA Y EL ACCESO A LA JUSTICIA EN ASUNTOS AMBIENTALES EN AMÉRICA LATINA Y EL CARIBE», ADOPTADO EN ESCAZÚ, COSTA RICA, EL 4 DE MARZO DE 2018. EL ACUERDO ESTABLECE LA OBLIGACIÓN DE GARANTIZAR EL ACCESO A INFORMACIÓN AMBIENTAL.",http://www.secretariasenado.gov.co/senado/basedoc/ley_2273_2022.html,2022-11-05,NO,,SI,,NO,NO,NO,NO,NO,NO,NO,NO,SI,Promueve,Acceso a la información,,,,,,,
Ecuador,2022,Ley Orgánica Reformatoria de la Ley Orgánica de Comunicación.,Ley reformatoria,pretende contrarrestar la “ley mordaza” emitida en 2013 por el expresidente Rafael Correa al eliminar las limitaciones al libre ejercicio del periodismo y la libertad de expresión. Los cambios que contiene esta nueva ley se relacionan con la eliminación del control a medios de comunicación a través de la “censura” y los derechos litigiosos judiciales contra los periodistas o medios de comunicación por sus contenidos publicados.,http://www.edicioneslegales-informacionadicional.com/webmaster/directorio/2SU188_2022.pdf,2022-11-14,SI,Ley Orgánica de Comunicación.,SI,,NO,SI,NO,NO,NO,NO,NO,NO,SI,Promueve,Libertad de Expresión y Derechos políticos,SI,SI,SI,SI,Libertad de expresión,Acceso a la información,--
Guatemala,2022,DECRETO DEL CONGRESO NÚMERO 39-2022,Ley ordinaria,LEY DE PREVENCIÓN Y PROTECCIÓN CONTRA LA CIBERDELINCUENCIA,https://www.congreso.gob.gt/assets/uploads/info_legislativo/dictamen/32a2e-dictamen-5601.pdf,2022-08-04,SI,"CÓDIGO PENAL, LEY DEL SISTEMA NACIONAL DE SEGURIDAD, LEY CONTRA LA DELINCUENCIA ORGANIZADA",NO,2022-08-24,SI,NO,SI,NO,SI,SI,SI,SI,NO,Limita,Ciberseguridad,SI,NO,NO,NO,Delitos informáticos,,
Guatemala,2022,DECRETO DEL CONGRESO NO. 18-2022,Ley ordinaria,LEY PARA LA PROTECCIÓN DE LA VIDA Y LA FAMILIA,https://www.congreso.gob.gt/noticias_congreso/8042/2022/4,2022-03-08,SI,CÓDIGO PENAL,NO,2022-03-15,SI,NO,NO,NO,SI,NO,NO,NO,NO,Limita,Libertad de Expresión y Derechos políticos,NO,NO,NO,NO,Libertad de expresión,,
México,2022,Ley General de Comunicación Social y Ley General de Responsabilidades Administrativas,Decreto,Regular la comunicación social de instituciones de gobierno,http://gaceta.diputados.gob.mx/PDF/65/2022/dic/DOF27DIC2022-LeyesComunicaSocialyGralResponsabAdmin.pdf,2022-12-27,SI,Ley General de Comunicación Social y Ley General de Responsabilidades Administrativas,SI,,NO,NO,NO,NO,NO,NO,NO,NO,NO,Limita,Moral Pública,SI,NO,NO,NO,,,No cumple el test. No son las medids más adecuadas para salvaguardar la libertad de expresión de la ciudadanía. Es regulación deficiente
Perú,2022,Ley Nº 31515,LEY,"Se propone la asignación de porcentajes mínimos de contratación de medios de comunicación distritales, provinciales y regionales para la difusión de publicidad estatal. Asimismo, se prohíbe que las centrales de medios contratadas para hacer la pauta de los avisos “cobren porcentajes o pago adicional alguno, como comisión de servicio, a los medios contratados para pasar los avisos de la publicidad estatal”.",https://busquedas.elperuano.pe/normaslegales/ley-que-modifica-la-ley-28874-ley-que-regula-la-publicidad-ley-n-31515-2087208-1/,2022-07-16,SI,"Ley 28874, Ley que regula la publicidad estatal",SI,,NO,NO,NO,NO,SI,NO,NO,NO,NO,Limita,Publicidad oficial,SI,NO,NO,NO,,,"Se cumple con el requisito de legalidad, pues quedan claras las prohibiciones establecidas. Respecto a la necesidad, no existe un objetivo legitimo que justifique la obligatoriedad de contratar medios distritales, regionales o nacionales, según sea el caso. Además, se infringe el principio de proporcionalidad ya que se asignan cuotas de recepción de pauta publicitaria estatal a ciertos medios sin consideración de su idoneidad para transmitir eficazmente los mensajes publicitarios a la población objetivo. Con ello, se afecta el derecho a la información de los ciudadanos, y la inversión estatal publicitaria puede ser utilizada como un mecanismo de presión sobre la línea editorial de los medios de comunicación, vulnerando indirectamente la libertad de prensa."
Brasil,2021,Ley nº 14.192/2021,Ley ordinaria,"Estabelece normas para prevenir, reprimir e combater a violência política contra a mulher; e altera a Lei nº 4.737, de 15 de julho de 1965 (Código Eleitoral), a Lei nº 9.096, de 19 de setembro de 1995 (Lei dos Partidos Políticos), e a Lei nº 9.504, de 30 de setembro de 1997 (Lei das Eleições), para dispor sobre os crimes de divulgação de fato ou vídeo com conteúdo inverídico no período de campanha eleitoral, para criminalizar a violência política contra a mulher e para assegurar a participação de mulheres em debates eleitorais proporcionalmente ao número de candidatas às eleições proporcionais.",https://legis.senado.leg.br/norma/34640621/publicacao/34642461,2021-08-04,SI,Código Eleitoral; Lei dos Partidos Políticos; Lei das Eleições,SI,,SI,NO,NO,NO,SI,SI,SI,NO,SI,Limita,"Discriminación, violencia y discursos de odio",SI,SI,SI,SI,Igualdad y no discriminación,Libertad electoral,"Persegue objetivo legítimo e é proporcional. A nova lei cria normas para prevenir, reprimir e combater a violência política contra a mulher, nos espaços e atividades relacionados ao exercício de seus direitos políticos e de suas funções públicas. A lei garante direitos de participação política da mulher, vedadas a discriminação e a desigualdade de tratamento em virtude de sexo ou de raça no acesso às instâncias de representação política e no exercício de funções públicas."
Colombia,2021,2108,Ley ordinaria,ESTABLECE AL INTERNET COMO UN SERVICIOS PÚBLICO ESENCIAL Y UNIVERSAL,https://dapre.presidencia.gov.co/normativa/normativa/LEY%202108%20DEL%2029%20DE%20JULIO%20DE%202021.pdf,2021-07-29,SI,LEY 1341 DE 2009,SI,,NO,NO,NO,NO,NO,NO,NO,NO,,Promueve,Acceso a la información,,,,,Acceso a Internet,,
Colombia,2021,2120,Ley ordinaria,"ADOPTA MEDIDAS PARA PROMOVER ENTORNOS ALIMENTARIOS SALUDABLES. EL PROYECTO BUSCA QUE SE ENTREGUE INFORMACIÓN CLARA SOBRE PRODUCTOS COMESTIBLES, ESPECIALMENTE A NIÑAS, NIÑOS Y ADOLESCENTES. ESTABLECE RESTRICCIONES PARA LA PUBLICIDAD.",https://dapre.presidencia.gov.co/normativa/normativa/LEY%202120%20DEL%2030%20DE%20JULIO%20DE%202021.pdf,2021-07-30,NO,,SI,,NO,NO,SI,NO,SI,SI,NO,NO,SI,Limita,Derechos de los niños,SI,SI,SI,SI,Protección de menores,,"EL PROYECTO ESTABLECE RESTRICCIONES EN LA PUBLICIDAD DIRIGIDA A NIÑOS, NIÑAS Y ADOLESCENTES. CIERTOS PRODUCTOS COMESTIBLES O BEBIBLES ULTRAPROCESADOS CON CANTIDADES ALTAS DE SODIO, AZÚCARES, GRASAS SATURADAS Y EDULCORANTES NO PODRÁN SER PUBLICITADOS, PROMOCIONADOS Y/O ENTREGADOS A TÍTULO GRATUITO A LA POBLACIÓN MENOR DE 18 AÑOS. LOS PRODUCTOS Y TIPOS DE PUBLICIDAD ESTÁN DEFINIDOS EN LA LEY Y LA RESTRICCIÓN SE LIMITA A LOS MENORES DE EDAD. LA RESTRICCIÓN TIENE COMO PROPÓSITO LA PREVENCIÓN DE LA APARICIÓN DE ENFERMEDADES NO TRANSMISIBLES RELACIONADAS CON HÁBITOS ALIMENTARIOS INADECUADOS."
Ecuador,2021,Ley Orgánica de Protección de Datos Personales,Ley orgánica,"Se establece un marco para la protección de datos personales, se consagran derechos de los titulares y receptores y se establece una autoridad de la función ejecutiva para controlar el cumplimiento de la ley",http://www.silec.com.ec/Webtools/LexisFinder/DocumentVisualizer/FullDocumentVisualizerPDF.aspx?id=PUBLICO-LEY_ORGANICA_DE_PROTECCION_DE_DATOS_PERSONALES,2021-05-10,SI,Ley de Comercio Electrónico - Ley Orgánica de Telecomunicaciones,SI,,NO,NO,NO,NO,NO,NO,NO,NO,SI,Promueve,Privacidad y Derechos ARCO,SI,SI,SI,SI,Datos personales,,
Perú,2021,Ley No. 31155,LEY,"Define el acoso político contra las mujeres como ""cualquier conducta que se ejerce contra una o varias mujeres por su condición de tal (...) que tenga por objeto menoscabar, discriminar, anular, impedir, limitar, obstaculizar o restringir el reconocimiento, goce o ejercicio de sus derechos políticos."" Además, presenta un listado de 'manifestaciones de acoso político' que incluye ""restringir el uso de la palabra impidiendo el derecho de participación política en condiciones de igualdad"" y ""divulgar imágenes o mensajes a través de medios de comunicación o redes sociales que transmitan y/o reproduzcan relaciones de desigualdad y discriminación contra las mujeres con el objetivo de menoscabar su imagen pública y/o limitar sus derechos políticos."" Incorpora el artículo 394 a la Ley Orgánica de Elecciones en el que impone una multa de ""no menor de una UIT ni mayor de cincuenta UIT al ciudadano o persona jurídica que (...) perturba, hostiliza, impide, limita, anula u obstaculiza el ejercicio del derecho de participación política o la realización de actividades de carácter político del afiliado o directivo de una organización política (...)"".",https://leyes.congreso.gob.pe/Documentos/2016_2021/ADLP/Normas_Legales/31155-LEY.pdf,2021-04-06,SI,Ley 28094,SI,,NO,NO,NO,NO,SI,SI,NO,NO,,Limita,"Discriminación, violencia y discursos de odio",NO,NO,NO,NO,Igualdad y no discriminación,,"La ley no delimita qué acción o expresión ""perturba, hostiliza, impide, limita, anula u obstaculiza el ejercicio del derecho de participación política"", lo que permite interpretaciones aribitrarias y extremadamente restrictivas. Además, la nueva infracción creada no está relacionada con el objetivo legítimo de garantizar la igualdad de género en la participación política, y su tipificación es tan amplia que puede generar restricciones excesivas a la libertad de expresión a través de la crítica válida a autoridades y dirigentes políticos.La ley no representa una consecuencia excesivamente restrictiva ni aplica una sanción concreta. No obstante, la norma establece supuestos genéricos de expresiones de acoso que dependen de una consecuencia difícil de predecir para quien realiza la expresión, como ""restringir el uso de la palabra"" (expresión), ""impidiendo el derecho de participación política en condiciones de igualdad"" (consecuencia); o, ""divulgar imágenes o mensajes"" (expresión) ""que transmitan y/o reproduzcan relaciones de desigualdad y discriminación contra las mujeres con el objetivo de menoscabar su imagen pública y/o limitar sus derechos políticos"" (consecuencia). Sí existe una necesidad de combatir el acoso y en la medida que no se han establecido sanciones específicas, una eventual restricción de las expresiones de acoso, bien delimitada, no tendría un impacto sensible en la libertad de expresión."
